1.CodigoDeArticulo,Código del Departamento ,Código de Familia,2.CodigoDeCelda,3.StockB,4.StockA,5.Stock,6.ALM,7.stock,8.almacen,9.Familia,10.Subfamilia,11.Descripcion,12:Empresa,13.TipoCelda,14.Clasificacion
COTY0019,COTY,RIMMEL,VALL.G.05.51.03,0,00,0,00,2,00,RIMMEL,MUEBLES,PDTE_MUEBLE_ATILA UNA CARA MIXTO 0.58 SIN LUZ,GALAN,,P1
COTY0019,COTY,RIMMEL,VALL.G.05.55.03,0,00,0,00,2,00,RIMMEL,MUEBLES,PDTE_MUEBLE_ATILA UNA CARA MIXTO 0.58 SIN LUZ,GALAN,,P1
COTY0019,COTY,RIMMEL,VALL.G.05.50.03,0,00,0,00,1,00,RIMMEL,MUEBLES,PDTE_MUEBLE_ATILA UNA CARA MIXTO 0.58 SIN LUZ,GALAN,,P1
COTY0031,COTY,MAXFACTOR,VALL.G.05.47.01,0,00,0,00,1,00,MAXFACTOR,MUEBLES,MXF_MUEBLE_ATILA 058 SIN LUZ,GALAN,,P1
DEV16,COTY,RIMMEL,VALL.G.04.17.01,0,00,0,00,1,00,RIMMEL,MUEBLES,RIM_MUEBLE_MIBAR 1.2M DEV,GALAN,,P1
DEV16,COTY,RIMMEL,VALL.G.02.10.01,0,00,0,00,1,00,RIMMEL,MUEBLES,RIM_MUEBLE_MIBAR 1.2M DEV,GALAN,,P1
DEV16,COTY,RIMMEL,VALL.G.02.12.01,0,00,0,00,1,00,RIMMEL,MUEBLES,RIM_MUEBLE_MIBAR 1.2M DEV,GALAN,,P1
FLOR003,FLORMAR,,VALL.G.03.36.01,0,00,0,00,2,00,,MUEBLES,FLORMAR_MUEBLE_MAKEUPSTATION,GALAN,,P1
MXF_ATILA98,COTY,MAXFACTOR,VALL.G.03.32.03,0,00,0,00,2,00,MAXFACTOR,MUEBLES,MXF_MUEBLE_ATILA MXF negro con luz 98 FY23,GALAN,,P1
MXF_ATILA98,COTY,MAXFACTOR,VALL.G.03.31.02,0,00,0,00,1,00,MAXFACTOR,MUEBLES,MXF_MUEBLE_ATILA MXF negro con luz 98 FY23,GALAN,,P1
MXF_ATILA98,COTY,MAXFACTOR,VALL.G.03.34.02,0,00,0,00,2,00,MAXFACTOR,MUEBLES,MXF_MUEBLE_ATILA MXF negro con luz 98 FY23,GALAN,,P1
MXF_ATILA98,COTY,MAXFACTOR,VALL.G.03.34.03,0,00,0,00,2,00,MAXFACTOR,MUEBLES,MXF_MUEBLE_ATILA MXF negro con luz 98 FY23,GALAN,,P1
MXF_ATILA98,COTY,MAXFACTOR,VALL.G.03.33.02,0,00,0,00,1,00,MAXFACTOR,MUEBLES,MXF_MUEBLE_ATILA MXF negro con luz 98 FY23,GALAN,,P1
MXF_ATILA98,COTY,MAXFACTOR,VALL.G.03.33.03,0,00,0,00,2,00,MAXFACTOR,MUEBLES,MXF_MUEBLE_ATILA MXF negro con luz 98 FY23,GALAN,,P1
MXF_ATILA98,COTY,MAXFACTOR,VALL.G.03.31.03,0,00,0,00,2,00,MAXFACTOR,MUEBLES,MXF_MUEBLE_ATILA MXF negro con luz 98 FY23,GALAN,,P1
MXF0028,COTY,MAXFACTOR,VALL.G.02.28.01,0,00,0,00,1,00,MAXFACTOR,MUEBLES,MXF_MUEBLE_ATILA MAX FACTOR 058 CON LUZ FOOD,GALAN,,P1
MXF0028,COTY,MAXFACTOR,VALL.G.05.26.01,0,00,0,00,1,00,MAXFACTOR,MUEBLES,MXF_MUEBLE_ATILA MAX FACTOR 058 CON LUZ FOOD,GALAN,,P1
MXF0028,COTY,MAXFACTOR,VALL.G.04.50.01,0,00,0,00,3,00,MAXFACTOR,MUEBLES,MXF_MUEBLE_ATILA MAX FACTOR 058 CON LUZ FOOD,GALAN,,P1
MXF0028,COTY,MAXFACTOR,VALL.G.04.48.01,0,00,0,00,3,00,MAXFACTOR,MUEBLES,MXF_MUEBLE_ATILA MAX FACTOR 058 CON LUZ FOOD,GALAN,,P1
MXF0044,COTY,MAXFACTOR,VALL.G.01.32.01,0,00,0,00,2,00,MAXFACTOR,MUEBLES,MXF_MUEBLE_ATILA MAX FACTOR 098 CON LUZ FOOD,GALAN,,P1
