1.Albaran;2.NumeroDePedidoDeTercero;3.CodigoDeArticulo;4.Código del Departamento ;5.Código de Familia;6.Descripcion1;7.Descripcion2;8.Unidades;9.CodigoDeClasificacion;10.Bultos;11.PesoBruto;12.PesoNeto;13.Palets;14.ReferenciaCliente2;15.CodigoDeServicioDeTransporte;16.Matricula;17.Fecha;18.Destinatario;19.Almacen;20.Celda;21.CodFamilia;22.ReferenciaCliente2
GA4227;APERTURA;54005067;FLORMAR;;WALL UNIT 1M;;1,00;SP;4,00;527,00;527,00;4,00;AP_0506_LINARE;TRANSLINK;3157313;08/06/2026 10:18:00;TRANSLINK GRANADA_RECOGE BRIAN DAVID;GALAN;ZONAA;MUEBLES;AP_0506_LINARE
GA4227;APERTURA;COTY0184_26;COTY;RIMMEL;RIM_TESTERS;;1,00;SP;4,00;527,00;527,00;4,00;AP_0506_LINARE;TRANSLINK;3157313;08/06/2026 10:18:00;TRANSLINK GRANADA_RECOGE BRIAN DAVID;GALAN;VALL.G.07.12.01;ELEMENTOS;AP_0506_LINARE
GA4227;APERTURA;MMIBAR2M_26;COTY;RIMMEL;MUEBLE MIBAR 2M H2FY26;;1,00;SP;4,00;527,00;527,00;4,00;AP_0506_LINARE;TRANSLINK;3157313;08/06/2026 10:18:00;TRANSLINK GRANADA_RECOGE BRIAN DAVID;GALAN;VALL.PLAYA.01.01.01;MUEBLES;AP_0506_LINARE
GA4227;APERTURA;MSPINNER_26;COTY;SALLY HANSEN;MUEBLE SPINNER H2FY26;;1,00;SP;4,00;527,00;527,00;4,00;AP_0506_LINARE;TRANSLINK;3157313;08/06/2026 10:18:00;TRANSLINK GRANADA_RECOGE BRIAN DAVID;GALAN;ZONAA;MUEBLES;AP_0506_LINARE
GA4229;COTY CADENAS;RIM062.13;COTY;RIMMEL;RIMMEL_TIRAS COMPLETAS PORTUGUES MIBAR 2M SPANISH;;1,00;SP;1,00;1,00;1,00;;COTY-08061108;24H;3157313;08/06/2026 15:41:00;SERVICE INNOVATIÓN GROUP PROTUGAL;GALAN;TAULA2;ELEMENTOS;COTY-08061108
GA4226;TOTEMS;RT_CARTELA;RATE&GRADE;;CARTELA;;2,00;SP;1,00;60,00;60,00;1,00;RATE&GRADE;DACHSER;3157313;05/06/2026;Plentyco GmbH;GALAN;X;CARTELAS;RATE&GRADE
GA4226;TOTEMS;RT_TOTEM;RATE&GRADE;RATE&GRADE;TOTEMS;;2,00;SP;1,00;60,00;60,00;1,00;RATE&GRADE;DACHSER;3157313;05/06/2026;Plentyco GmbH;GALAN;X;MUEBLES;RATE&GRADE
GA4227;APERTURA;SHGLM_2M_2026;FUTURE;SHEGLAM;MUEBLE SHEGLAM 2M 2026;;1,00;SP;4,00;527,00;527,00;4,00;AP_0506_LINARE;TRANSLINK;3157313;08/06/2026 10:18:00;TRANSLINK GRANADA_RECOGE BRIAN DAVID;GALAN;ZONAA;MUEBLES;AP_0506_LINARE
GA4227;APERTURA;WALL_KIT_JUN26;FLORMAR;FLORMAR;KIT ACT. WALL UNIT JUNIO 26;;1,00;SP;4,00;527,00;527,00;4,00;AP_0506_LINARE;TRANSLINK;3157313;08/06/2026 10:18:00;TRANSLINK GRANADA_RECOGE BRIAN DAVID;GALAN;VALL.G.06.16.01;ELEMENTOS;AP_0506_LINARE
GA4227;APERTURA;WALL_TIRAS_26;FLORMAR;FLORMAR;TIRAS WALL UNIT JUNIO 26;;1,00;SP;4,00;527,00;527,00;4,00;AP_0506_LINARE;TRANSLINK;3157313;08/06/2026 10:18:00;TRANSLINK GRANADA_RECOGE BRIAN DAVID;GALAN;VALL.G.07.04.01;ELEMENTOS;AP_0506_LINARE
